#Note: This mapping table is made by me. For the original version, see Code Page 1024.
#There may be more accented characters available, like K and V with dot below.

0xBE 0x96	0x00F3	#LATIN SMALL LETTER O WITH ACUTE
0xBE 0x99	0x0155	#LATIN SMALL LETTER R WITH ACUTE
0xBE 0xA2	0x015B	#LATIN SMALL LETTER S WITH ACUTE
0xBE 0xA4	0x00FA	#LATIN SMALL LETTER U WITH ACUTE
0xBE 0xA8	0x00FD	#LATIN SMALL LETTER Y WITH ACUTE
0xBE 0xA9	0x017A	#LATIN SMALL LETTER Z WITH ACUTE
0xBE 0xC1	0x00C1	#LATIN CAPITAL LETTER A WITH ACUTE
0xBE 0xC3	0x0106	#LATIN CAPITAL LETTER C WITH ACUTE
0xBE 0xC5	0x00C9	#LATIN CAPITAL LETTER E WITH ACUTE
0xBE 0xC9	0x00CD	#LATIN CAPITAL LETTER I WITH ACUTE
0xBE 0xD3	0x0139	#LATIN CAPITAL LETTER L WITH ACUTE
0xBE 0xD5	0x0143	#LATIN CAPITAL LETTER N WITH ACUTE
0xBE 0xD6	0x00D3	#LATIN CAPITAL LETTER O WITH ACUTE
0xBE 0xD9	0x0154	#LATIN CAPITAL LETTER R WITH ACUTE
0xBE 0xE2	0x015A	#LATIN CAPITAL LETTER S WITH ACUTE
0xBE 0xE4	0x00DA	#LATIN CAPITAL LETTER U WITH ACUTE
0xBE 0xE8	0x00DD	#LATIN CAPITAL LETTER Y WITH ACUTE
0xBE 0xE9	0x015A	#LATIN CAPITAL LETTER Z WITH ACUTE
0xBF	0x02C7	#CARON
0xBF 0x83	0x010D	#LATIN SMALL LETTER C WITH CARON
0xBF 0x84	0x010F	#LATIN SMALL LETTER D WITH CARON
0xBF 0x85	0x011B	#LATIN SMALL LETTER E WITH CARON
0xBF 0x93	0x013E	#LATIN SMALL LETTER L WITH CARON
0xBF 0x95	0x0148	#LATIN SMALL LETTER N WITH CARON
0xBF 0x99	0x0159	#LATIN SMALL LETTER R WITH CARON
0xBF 0xA2	0x0161	#LATIN SMALL LETTER S WITH CARON
0xBF 0xA3	0x0165	#LATIN SMALL LETTER T WITH CARON
0xBF 0xA9	0x017E	#LATIN SMALL LETTER Z WITH CARON
0xBF 0xC3	0x010C	#LATIN CAPITAL LETTER C WITH CARON
0xBF 0xC4	0x010E	#LATIN CAPITAL LETTER D WITH CARON
0xBF 0xC5	0x011A	#LATIN CAPITAL LETTER E WITH CARON
0xBF 0xD3	0x013D	#LATIN CAPITAL LETTER L WITH CARON
0xBF 0xD5	0x0147	#LATIN CAPITAL LETTER N WITH CARON
